area_type,availability,location,size,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,1350,7.0,0.0,85.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1005,2.0,1.0,36.68
Plot  Area,Ready To Move,Double Road,3 Bedroom,500,3.0,2.0,100.0
Super built-up  Area,20-Aug,Begur Road,2 BHK,1358,2.0,1.0,80.58
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1569,3.0,1.0,101.0
Super built-up  Area,18-Apr,Haralur Road,2 BHK,1240,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2089,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Kothannur,2 BHK,1206,2.0,1.0,48.23
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1150,2.0,3.0,40.0
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,2511,3.0,3.0,205.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,460,1.0,0.0,22.0
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,1660,2.0,2.0,105.0
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,2957 - 3450,2.0,2.0,224.5
Super built-up  Area,19-Mar,Yelahanka,2 BHK,1326,2.0,2.0,78.0
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1325,2.0,2.0,60.8
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1499,5.0,2.0,102.0
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,3000,7.0,2.0,210.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1665,3.0,2.0,88.0
Super built-up  Area,17-Sep,Dasanapura,2 BHK,708,2.0,2.0,37.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1060,2.0,2.0,58.06
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,710,6.0,3.0,160.0
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1000,2.0,2.0,70.0
Super built-up  Area,18-Dec,Electronic City,2 BHK,1000,2.0,1.0,28.88
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,1450,2.0,2.0,70.0
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,1200,4.0,2.0,155.0
Super built-up  Area,17-Aug,Thanisandra,2 BHK,1296,2.0,3.0,80.0
Super built-up  Area,Ready To Move,Domlur,3 BHK,1540,3.0,2.0,90.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1330,2.0,1.0,48.0
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,1200,2.0,1.0,65.0
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,1200,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2502,3.0,3.0,138.0
Built-up  Area,Ready To Move,Chandapura,2 BHK,650,1.0,1.0,17.0
Plot  Area,Ready To Move,Kothanur,3 Bedroom,2400,2.0,1.0,150.0
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,1007,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,1200,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Peenya,2 BHK,966,2.0,2.0,49.9
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1630,2.0,1.0,98.0
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,782,2.0,2.0,55.68
Super built-up  Area,19-Apr,Devanahalli,2 BHK,1260,2.0,2.0,66.78
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,1800,3.0,3.0,120.0
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,1413,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116,2.0,1.0,51.91
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1530,2.0,1.0,45.9
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,3700,4.0,1.0,225.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,2497,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1540,2.0,3.0,64.0
Super built-up  Area,18-Dec,Thanisandra,3 BHK,1436,3.0,1.0,74.75
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,1100,2.0,2.0,75.0
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,276,3.0,3.0,23.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1427,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061,3.0,1.0,200.0
Built-up  Area,Ready To Move,Shampura,4 BHK,2650,4.0,2.0,150.0
Super built-up  Area,22-Dec,Devanahalli,3 BHK,1282,2.0,2.0,68.52
Built-up  Area,Ready To Move,Kadugodi,2 BHK,1050,2.0,1.0,34.0
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,1600,3.0,2.0,65.0
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,945,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1500,2.0,1.0,78.0
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,950,7.0,0.0,115.0
Built-up  Area,Ready To Move,Peenya,3 BHK,1870,3.0,3.0,110.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,1600,3.0,1.0,75.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,880,1.0,1.0,16.5
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200,4.0,0.0,210.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535,3.0,2.0,83.0
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950,2.0,1.0,57.0
Super built-up  Area,18-Aug,Devanahalli,2 BHK,1360,2.0,1.0,65.0
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,1042 - 1105,2.0,0.0,54.005
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,1280,3.0,1.0,50.4
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,1260,2.0,2.0,85.05
Super built-up  Area,19-Dec,Yelahanka,5 BHK,3050,5.0,1.0,213.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1563.05,3.0,1.0,105.0
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,1000,2.0,1.0,60.0
Super built-up  Area,17-Jul,Anandapura,2 BHK,1167,2.0,1.0,43.76
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,4000,7.0,2.0,225.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1828,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,890,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,1612,3.0,3.0,46.74
Plot  Area,Ready To Move,Dinnur,6 Bedroom,1034,5.0,2.0,185.0
Super built-up  Area,19-Apr,Mysore Road,3 BHK,1710,4.0,2.0,91.31
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957,2.0,1.0,58.0
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,1250,2.0,3.0,44.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1125,2.0,2.0,50.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1020,2.0,1.0,30.6
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1735,3.0,3.0,135.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2050,3.0,1.0,145.0
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,1350,2.0,3.0,48.0
Super built-up  Area,18-May,Hosa Road,2 BHK,1063,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,1904,3.0,1.0,150.0
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,2000,3.0,1.0,175.0
Super built-up  Area,18-Dec,Sarjapur,2 BHK,1145 - 1340,2.0,0.0,43.49
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,1425,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500,2.0,1.0,64.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,1060,2.0,1.0,60.0
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,1470,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,1300,6.0,0.0,99.0
Super built-up  Area,Ready To Move,Attibele,1 BHK,450,1.0,1.0,11.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1152,2.0,1.0,64.5
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350,2.0,1.0,56.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1550,3.0,3.0,65.0
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,1500,3.0,2.0,100.0
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,600,3.0,2.0,85.0
Plot  Area,Ready To Move,Nagavara,1 Bedroom,400,1.0,0.0,14.0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,705,1.0,2.0,67.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,770,1.0,1.0,36.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1242,2.0,3.0,51.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1700,3.0,2.0,155.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2144,3.0,2.0,145.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1704,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,1340,2.0,2.0,55.7
Built-up  Area,Ready To Move,Electronic City,2 BHK,1025,2.0,1.0,46.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1015 - 1540,2.0,0.0,56.8
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200,2.0,2.0,52.0
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,2250,4.0,1.0,110.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,1550,2.0,3.0,80.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1327,2.0,2.0,98.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1186,2.0,2.0,58.0
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,1783,3.0,1.0,115.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1400,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,980,2.0,1.0,48.0
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1285,2.0,2.0,82.0
Super built-up  Area,Ready To Move,Langford Town,3 BHK,912,2.0,1.0,70.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,1225,2.0,2.0,47.6
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1075,2.0,1.0,53.0
Built-up  Area,Ready To Move,Kadugodi,3 BHK,1260,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1282,2.0,2.0,48.7
Super built-up  Area,Ready To Move,Kogilu,3 BHK,1909,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,1359,2.0,1.0,87.0
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,1207,2.0,2.0,43.5
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,1736,6.0,0.0,190.0
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1595,3.0,2.0,65.0
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,1798,3.0,2.0,89.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1475,3.0,2.0,78.29
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,1580,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1295,2.0,1.0,65.0
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,3600,6.0,0.0,141.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,589,1.0,1.0,27.0
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,1415,3.0,3.0,78.0
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,1787,3.0,2.0,98.29
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1787,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1475,2.0,3.0,90.0
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000,4.0,1.0,75.5
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,984,2.0,1.0,44.28
Super built-up  Area,19-Dec,Devanahalli,3 BHK,1520 - 1740,2.0,2.0,74.82
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080,2.0,2.0,72.0
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,1500,2.0,1.0,115.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1900,3.0,2.0,119.0
Super built-up  Area,19-Aug,Dommasandra,2 BHK,805,2.0,1.0,22.14
Super built-up  Area,Ready To Move,Budigere,2 BHK,1153,2.0,2.0,56.4
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1148,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,1110,2.0,2.0,55.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1100,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1290,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,1500,2.0,1.0,65.0
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,1080,2.0,2.0,39.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1933,3.0,1.0,129.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,3500,5.0,2.0,150.0
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,1060,2.0,2.0,60.0
Super built-up  Area,18-Aug,Chandapura,1 BHK,645,1.0,1.0,16.45
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,2600,8.0,2.0,180.0
Super built-up  Area,18-Sep,Chandapura,1 BHK,645,1.0,1.0,16.45
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,1644,3.0,3.0,84.0
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,1285,2.0,3.0,72.5
Plot  Area,Ready To Move,Electronic City,3 Bedroom,1200,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,910,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1577,3.0,1.0,70.0
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,2420,3.0,2.0,185.0
Super built-up  Area,Ready To Move,Chandapura,2 BHK,800,1.0,1.0,20.0
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,1060,2.0,2.0,55.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270,2.0,2.0,93.0
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,900,2.0,2.0,22.5
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,1280,2.0,1.0,69.0
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,1200,2.0,0.0,95.0
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1025,2.0,2.0,36.0
Super built-up  Area,17-Jun,Electronic City,2 BHK,1108,2.0,1.0,63.0
Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,1200,5.0,2.0,170.0
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,3045,3.0,2.0,170.0
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1500,3.0,2.0,75.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295,2.0,2.0,43.9
Super built-up  Area,Ready To Move,Budigere,2 BHK,1162,2.0,1.0,59.9
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1035,2.0,2.0,49.2
Built-up  Area,Ready To Move,Attibele,4 Bedroom,1600,4.0,0.0,52.8
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464,3.0,2.0,46.0
Super built-up  Area,18-Oct,Hennur Road,3 BHK,1866,2.0,2.0,61.58
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,700,1.0,1.0,26.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1804,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,913,2.0,1.0,32.0
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,1868,3.0,2.0,131.0
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,883,2.0,1.0,45.0
Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,900,2.0,1.0,110.0
Super built-up  Area,Ready To Move,Kogilu,3 BHK,1664,2.0,3.0,73.95
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,2026,3.0,2.0,132.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,1210,2.0,1.0,80.9
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,1762,3.0,3.0,91.45
Super built-up  Area,Ready To Move,Jigani,3 BHK,1252,3.0,3.0,55.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,861,2.0,1.0,34.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420,2.0,1.0,100.0
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1490,3.0,1.0,78.8
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,46.0
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,1425,2.0,2.0,94.0
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1280,2.0,2.0,56.0
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,1084,2.0,2.0,50.0
Super built-up  Area,18-Jul,Chandapura,2 BHK,1015,2.0,2.0,25.88
Super built-up  Area,21-May,Kanakpura Road,2 BHK,1017,2.0,1.0,51.25
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1027,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1069,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1349,2.0,1.0,98.2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1005,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Jakkur,2 BHK,1417,2.0,3.0,75.0
Plot  Area,18-Jan,TC Palaya,3 Bedroom,1475,3.0,1.0,98.0
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,950,2.0,2.0,47.0
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,2000,4.0,0.0,120.0
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,880,3.0,1.0,140.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,1863,3.0,2.0,104.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1010,2.0,1.0,29.5
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1425,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1450,3.0,0.0,100.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1847,3.0,2.0,105.0
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1100,2.0,3.0,45.0
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,525,1.0,1.0,26.0
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,1665,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Begur,4 BHK,1664,4.0,3.0,65.0
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,1850,3.0,3.0,150.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,1438,2.0,3.0,100.0
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,1560,3.0,3.0,115.0
Super built-up  Area,18-Apr,Yelahanka,2 BHK,1350,2.0,1.0,55.55
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3.0,3.0,67.0
Super built-up  Area,18-Apr,Malleshpalya,2 BHK,1140,2.0,2.0,46.5
Plot  Area,Ready To Move,Srirampura,5 Bedroom,1200,5.0,2.0,180.0
Super built-up  Area,18-Dec,Kodathi,2 BHK,850,2.0,2.0,27.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1280,2.0,2.0,75.0
Built-up  Area,Ready To Move,Munnekollal,2 BHK,1170,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Motappa Layout,2 BHK,1113,2.0,1.0,51.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1385,2.0,1.0,83.09
Super built-up  Area,18-Apr,Electronic City,2 BHK,1128,2.0,1.0,65.0
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,1200,2.0,2.0,128.0
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,1200,4.0,3.0,165.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,1464,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1200,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1200,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,1150,2.0,1.0,55.0
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,1645,3.0,2.0,95.0
Super built-up  Area,20-Mar,Sarjapur  Road,2 BHK,1000,2.0,1.0,67.0
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,2650,4.0,2.0,198.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1192,2.0,2.0,74.0
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,2135,3.0,2.0,215.0
